,0
2025-03-07,443188.81671348563
2025-03-08,443188.81671348563
2025-03-09,443188.81671348563
2025-03-10,440165.82867689186
2025-03-11,442442.8460318578
2025-03-12,444163.3505541859
2025-03-13,444163.3505541859
2025-03-14,443604.449431261
2025-03-15,443604.449431261
2025-03-16,443604.449431261
2025-03-17,444399.96942339896
2025-03-18,448278.71800094587
2025-03-19,448341.2511080774
2025-03-20,448341.2511080774
2025-03-21,447107.9590024872
2025-03-22,447911.7488895237
2025-03-23,448129.1684931115
2025-03-24,448129.1684931115
2025-03-25,448129.1684931115
2025-03-26,448129.1684931115
2025-03-27,448129.1684931115
2025-03-28,448121.2135027087
2025-03-29,450058.83232171985
2025-03-30,449405.4860625254
2025-03-31,452226.56096020347
2025-04-01,451074.7201051647
2025-04-02,455228.83583876427
2025-04-03,450603.0162096188
2025-04-04,445386.10242408613
2025-04-05,446391.24915397674
2025-04-06,441462.4681114824
2025-04-07,441918.10466497345
2025-04-08,441427.6437401565
2025-04-09,448591.8556796166
2025-04-10,457091.7273609719
2025-04-11,460517.61028077785
2025-04-12,459124.70620898466
2025-04-13,459281.16814560234
2025-04-14,458459.57487290865
2025-04-15,460470.32841076626
2025-04-16,468921.85650347196
2025-04-17,466517.8777727262
2025-04-18,467045.33959207684
2025-04-19,466676.3215841347
2025-04-20,468253.8231364521
2025-04-21,475025.6946485557
2025-04-22,466826.0239120905
2025-04-23,467965.7411804443
2025-04-24,473484.5985505974
2025-04-25,474594.36960268795
2025-04-26,483426.0882789251
2025-04-27,466781.9908498744
2025-04-28,466781.9908498744
2025-04-29,466781.9908498744
2025-04-30,466781.9908498744
2025-05-01,466781.9908498744
2025-05-02,466619.73283827264
2025-05-03,465213.95043848664
2025-05-04,463242.3323342236
2025-05-05,462724.8482675667
2025-05-06,468482.1819855043
2025-05-07,467436.66528839973
2025-05-08,474581.58144188096
2025-05-09,495284.04461616836
2025-05-10,561968.7874774503
2025-05-11,560576.366800633
2025-05-12,567838.0192741565
2025-05-13,598915.6163038388
2025-05-14,571776.5103732761
2025-05-15,571776.5103732761
2025-05-16,571776.5103732761
2025-05-17,571776.5103732761
2025-05-18,571776.5103732761
2025-05-19,571776.5103732761
2025-05-20,571776.5103732761
2025-05-21,571776.5103732761
2025-05-22,571776.5103732761
2025-05-23,571776.5103732761
2025-05-24,571776.5103732761
2025-05-25,571776.5103732761
2025-05-26,571776.5103732761
2025-05-27,571776.5103732761
2025-05-28,571776.5103732761
2025-05-29,571776.5103732761
2025-05-30,571776.5103732761
2025-05-31,571776.5103732761
2025-06-01,571776.5103732761
2025-06-02,571776.5103732761
2025-06-03,571776.5103732761
2025-06-04,571776.5103732761
2025-06-05,571776.5103732761
2025-06-06,571776.5103732761
2025-06-07,571776.5103732761
