date,cash,positions,total
2021-08-30,40668.665372563286,305332.2840535117,346000.949426075
2021-08-31,40668.665372563286,305104.0073757837,345772.672748347
2021-09-01,40668.665372563286,305214.3887634775,345883.0541360408
2021-09-02,40668.665372563286,306002.3292593541,346670.9946319174
2021-09-03,40668.665372563286,307110.62660157506,347779.29197413835
2021-09-07,40668.665372563286,305999.6944783711,346668.3598509344
2021-09-08,40668.665372563286,304207.3798493525,344876.0452219158
2021-09-09,40668.665372563286,302837.28187806474,343505.947250628
2021-09-10,40668.665372563286,302917.8046161077,343586.469988671
2021-09-13,40668.665372563286,302179.64932006015,342848.31469262345
2021-09-14,40668.665372563286,301029.3499832933,341698.01535585657
2021-09-15,40668.665372563286,303552.11853890185,344220.78391146514
2021-09-16,40668.665372563286,302926.03356432175,343594.69893688505
2021-09-17,40668.665372563286,299375.4073504836,340044.0727230469
2021-09-20,40668.665372563286,294531.2441306141,335199.9095031774
2021-09-21,40668.665372563286,295999.8463456827,336668.511718246
2021-09-22,40668.665372563286,296010.94659899606,336679.61197155935
2021-09-23,40668.665372563286,300677.05002126656,341345.71539382986
2021-09-24,40668.665372563286,301174.53249194584,341843.19786450913
2021-09-27,40668.665372563286,300386.4205150679,341055.08588763117
2021-09-28,40668.665372563286,293224.46382028237,333893.12919284566
